B, C1,C2,C, STD C1, STD C2, STD C, 
0,1551.7858298527751,0.0,775.8929149263876,234.1970037900417,0.0,117.09850189502085,
5,884.6836149543972,781.7401344051417,833.2118746797695,136.61535500109468,51.28023818050101,58.31355868127615,
10,679.2385375458538,621.7478495225103,650.4931935341824,125.18043476318242,67.04101843314928,70.33510256794837,
15,505.58373288193286,498.6430896266912,502.1134112543119,105.03990493798852,76.03643646612544,76.40441407022624,
20,392.9605535323852,401.4866070443965,397.22358028839085,103.7029485847957,93.96129875493604,86.76716978397894,
25,295.1718219893334,337.18322441808317,316.17752320370823,82.1306793244931,92.69012020881415,72.50339713965494,
30,195.38585985258067,288.0525971579933,241.7192285052871,85.43737837654379,114.77834258388845,78.93014887712604,
35,114.5086783803336,259.25055488049964,186.87961663041656,60.56202318355906,128.94415836732978,74.45731606237918,
40,63.87528027525662,245.97548291057214,154.92538159291436,50.85622468532345,106.25060804315622,65.71468428219957,
45,33.07903237302879,263.22615374801245,148.15259306052067,36.85445479317124,126.96287195983957,68.9117825791464,
50,9.174095807503633,232.44635115891523,120.81022348320943,17.358289195639998,106.88253002140554,56.144706588672086,
