 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked,	Legit Packet
183,	44,	0,	56,	0,	
354,	88,	0,	112,	0,	
483,	124,	0,	176,	0,	
675,	171,	0,	229,	0,	
825,	212,	0,	288,	0,	
959,	248,	0,	352,	0,	
1119,	289,	0,	411,	0,	
1295,	330,	0,	470,	0,	
1467,	379,	0,	521,	0,	
1623,	420,	0,	580,	0,	
2011,	420,	227,	680,	235,	
2393,	420,	446,	780,	462,	
2727,	420,	650,	880,	642,	
3138,	420,	891,	980,	881,	
3518,	420,	1109,	1080,	1134,	
3944,	420,	1363,	1180,	1352,	
4289,	420,	1572,	1280,	1546,	
4659,	420,	1798,	1380,	1770,	
5092,	420,	2048,	1480,	2026,	
5479,	420,	2278,	1580,	2258,	
5882,	420,	2528,	1680,	2490,	
6237,	420,	2738,	1780,	2682,	
6620,	420,	2949,	1880,	2922,	
7014,	420,	3180,	1980,	3155,	
7460,	420,	3433,	2080,	3395,	
7812,	420,	3637,	2180,	3585,	
8232,	420,	3874,	2280,	3836,	
8601,	420,	4087,	2380,	4035,	
9001,	420,	4335,	2480,	4267,	
9453,	420,	4609,	2580,	4513,	
9861,	420,	4855,	2680,	4747,	
10241,	420,	5077,	2780,	4973,	
10694,	420,	5347,	2880,	5233,	
11090,	420,	5580,	2980,	5449,	
11478,	420,	5796,	3080,	5686,	
11890,	420,	6041,	3180,	5915,	
12306,	420,	6286,	3280,	6152,	
12718,	420,	6526,	3380,	6391,	
13142,	420,	6769,	3480,	6623,	
13533,	420,	6985,	3580,	6853,	
13975,	420,	7233,	3680,	7125,	
14377,	420,	7465,	3780,	7365,	
14727,	420,	7684,	3880,	7552,	
15167,	420,	7930,	3980,	7814,	
15597,	420,	8179,	4080,	8071,	
15947,	420,	8379,	4180,	8287,	
16317,	420,	8598,	4280,	8514,	
16679,	420,	8811,	4380,	8755,	
17081,	420,	9040,	4480,	8988,	
17483,	420,	9269,	4580,	9249,	
17859,	420,	9487,	4680,	9455,	
18276,	420,	9724,	4780,	9710,	
18667,	420,	9962,	4880,	9922,	
19117,	420,	10234,	4980,	10190,	
19526,	420,	10470,	5080,	10428,	
19956,	420,	10720,	5180,	10674,	
20379,	420,	10977,	5280,	10921,	
20730,	420,	11190,	5380,	11152,	
21140,	420,	11419,	5480,	11409,	
21545,	420,	11647,	5580,	11649,	
21982,	420,	11880,	5680,	11890,	
22402,	420,	12110,	5780,	12140,	
22882,	420,	12387,	5880,	12401,	
23271,	420,	12613,	5980,	12600,	
23679,	420,	12857,	6080,	12837,	
24091,	420,	13098,	6180,	13082,	
24430,	420,	13296,	6280,	13286,	
24862,	420,	13544,	6380,	13516,	
25183,	420,	13728,	6480,	13700,	
25616,	420,	13979,	6580,	13961,	
26006,	420,	14194,	6680,	14172,	
26434,	420,	14443,	6780,	14421,	
26857,	420,	14689,	6880,	14653,	
27262,	420,	14931,	6980,	14891,	
27680,	420,	15172,	7080,	15118,	
28088,	420,	15395,	7180,	15369,	
28477,	420,	15629,	7280,	15589,	
28886,	420,	15872,	7380,	15822,	
29270,	420,	16095,	7480,	16041,	
29669,	420,	16339,	7580,	16255,	
30063,	420,	16579,	7680,	16479,	
30442,	420,	16815,	7780,	16721,	
30855,	420,	17064,	7880,	16928,	
31219,	420,	17287,	7980,	17143,	
31620,	420,	17535,	8080,	17357,	
31975,	420,	17744,	8180,	17566,	
32389,	420,	17981,	8280,	17817,	
32785,	420,	18212,	8380,	18052,	
33175,	420,	18441,	8480,	18277,	
33544,	420,	18657,	8580,	18503,	
33925,	420,	18886,	8680,	18722,	
34327,	420,	19115,	8780,	18967,	
34724,	420,	19332,	8880,	19194,	
35161,	420,	19593,	8980,	19441,	
35659,	420,	19893,	9080,	19717,	
36055,	420,	20126,	9180,	19950,	
36408,	420,	20343,	9280,	20153,	
36786,	420,	20563,	9380,	20393,	
37187,	420,	20800,	9480,	20620,	
37604,	420,	21042,	9580,	20852,	
